order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,564,94,Cheese Pizza,2025-08-23,16:52:22,Pending,484.24
2,46,70,Cheese Pizza,2024-07-21,19:45:17,Pending,539.09
3,772,43,Idli Sambhar,2023-09-22,11:46:33,Cancelled,650.52
4,729,88,Dosa,2024-06-06,18:17:27,Cancelled,829.87
5,851,75,Butter Naan,2024-11-02,22:42:06,Pending,819.01
6,117,58,Chicken Roll,2024-11-22,07:55:43,Pending,332.5
7,41,72,Dosa,2024-09-05,08:15:15,Delivered,745.6
8,84,58,Chicken Roll,2025-06-07,10:47:38,Delivered,243.57
9,837,17,Veg Thali,2025-04-06,20:11:45,Cancelled,444.96
10,516,76,Butter Naan,2024-05-12,05:31:53,Delivered,776.08
11,382,67,Butter Naan,2024-03-04,08:25:53,Pending,251.5
12,596,2,Butter Naan,2025-04-16,13:39:13,Delivered,716.58
13,581,60,Veg Burger,2024-08-31,00:26:49,Delivered,465.75
14,69,84,Chicken Roll,2024-06-19,01:49:58,Delivered,130.0
15,262,78,Veg Thali,2024-12-15,19:25:41,Pending,494.85
16,784,93,Veg Burger,2025-02-23,13:14:16,Cancelled,314.88
17,913,68,Mutton Curry,2024-04-25,19:41:40,Delivered,888.05
18,124,68,Dosa,2025-09-02,17:10:29,Delivered,539.1
19,539,21,Fried Rice,2025-01-26,05:10:47,Delivered,974.78
20,733,8,Dosa,2025-01-23,15:30:44,Pending,434.04
21,973,86,Dosa,2025-07-09,18:58:40,Cancelled,456.06
22,696,73,Butter Naan,2025-01-29,18:33:47,Pending,435.29
23,808,39,Mutton Curry,2024-01-02,01:13:56,Cancelled,108.72
24,107,29,Dosa,2023-11-25,22:19:54,Delivered,283.32
25,159,16,Dosa,2024-12-29,11:46:37,Delivered,655.59
26,155,41,Dosa,2024-06-23,19:38:31,Delivered,211.5
27,584,90,Mutton Curry,2024-05-08,14:47:33,Delivered,876.9
28,132,13,Paneer Tikka,2024-06-23,20:06:08,Pending,403.22
29,732,96,Idli Sambhar,2025-04-05,14:26:44,Cancelled,466.67
30,785,95,Cheese Pizza,2023-12-06,05:28:08,Delivered,630.3
31,393,59,Chicken Roll,2023-12-18,04:29:22,Delivered,276.35
32,967,24,Idli Sambhar,2025-07-31,13:54:52,Pending,213.61
33,710,92,Chicken Roll,2025-02-23,20:25:33,Pending,180.13
34,391,79,Chicken Biryani,2024-06-13,02:16:34,Delivered,609.03
35,94,28,Pasta Alfredo,2024-10-19,07:11:14,Delivered,723.4
36,313,12,Mutton Curry,2025-06-11,03:10:20,Cancelled,277.99
37,636,98,Paneer Tikka,2024-12-02,13:25:42,Pending,687.41
38,812,37,Veg Burger,2025-03-01,16:47:39,Cancelled,263.39
39,927,50,Veg Thali,2024-02-04,03:38:30,Delivered,633.0
40,71,59,Chicken Biryani,2025-03-25,12:31:51,Cancelled,418.34
41,299,76,Mutton Curry,2023-12-18,20:11:57,Delivered,593.9
42,156,66,Pasta Alfredo,2024-11-09,04:24:41,Delivered,165.3
43,79,11,Butter Naan,2023-10-18,17:46:32,Pending,231.38
44,908,59,Chicken Roll,2025-08-14,09:42:28,Delivered,815.33
45,542,76,Pasta Alfredo,2024-04-27,21:05:27,Pending,790.03
46,717,73,Idli Sambhar,2023-11-28,11:24:37,Pending,541.31
47,168,19,Paneer Tikka,2023-12-31,06:34:32,Delivered,821.69
48,590,68,Pasta Alfredo,2023-12-24,15:32:54,Cancelled,237.64
49,563,60,Paneer Tikka,2024-05-07,00:45:27,Pending,936.19
50,791,100,Paneer Tikka,2023-10-08,23:13:07,Pending,115.03
51,5,5,Idli Sambhar,2024-05-29,11:44:06,Pending,319.68
52,546,94,Cheese Pizza,2025-01-17,10:02:45,Cancelled,403.56
53,191,41,Idli Sambhar,2023-10-30,02:48:42,Cancelled,923.8
54,654,96,Cheese Pizza,2024-03-16,10:02:33,Cancelled,752.5
55,22,82,Cheese Pizza,2024-09-01,21:32:02,Delivered,571.68
56,957,53,Fried Rice,2023-12-17,06:43:27,Delivered,851.12
57,612,48,Pasta Alfredo,2023-12-04,06:08:03,Delivered,109.42
58,901,54,Dosa,2024-04-24,02:25:23,Delivered,337.56
59,769,77,Pasta Alfredo,2025-02-09,08:17:13,Delivered,401.18
60,278,1,Idli Sambhar,2025-02-15,06:27:59,Cancelled,692.66
61,358,2,Veg Burger,2024-05-10,11:43:50,Cancelled,272.08
62,366,36,Paneer Tikka,2025-07-25,21:45:52,Delivered,251.86
63,54,86,Fried Rice,2024-09-27,20:17:09,Pending,947.51
64,853,95,Mutton Curry,2024-05-17,23:13:15,Delivered,201.28
65,158,81,Pasta Alfredo,2023-11-19,17:49:39,Cancelled,515.91
66,272,19,Butter Naan,2024-01-28,15:58:04,Delivered,157.38
67,403,91,Paneer Tikka,2025-08-14,17:57:41,Pending,643.65
68,464,75,Cheese Pizza,2025-05-10,10:26:55,Delivered,664.12
69,79,37,Veg Burger,2024-06-15,04:16:29,Delivered,694.21
70,261,60,Cheese Pizza,2024-10-02,00:33:49,Cancelled,402.6
71,334,8,Veg Burger,2025-04-11,14:55:56,Cancelled,236.54
72,186,80,Fried Rice,2024-06-23,10:21:37,Delivered,994.57
73,18,57,Chicken Biryani,2023-12-08,20:32:04,Delivered,371.98
74,387,7,Fried Rice,2025-06-08,17:22:51,Pending,556.85
75,290,86,Paneer Tikka,2024-11-13,12:34:55,Delivered,957.24
76,141,18,Dosa,2023-10-29,11:14:50,Pending,578.51
77,539,30,Paneer Tikka,2024-02-09,20:20:24,Pending,751.75
78,196,17,Pasta Alfredo,2023-10-23,00:49:33,Pending,978.14
79,300,15,Veg Burger,2024-01-25,22:29:04,Pending,378.62
80,223,5,Paneer Tikka,2025-01-19,05:32:29,Cancelled,925.21
81,598,79,Cheese Pizza,2024-05-02,18:59:32,Pending,562.37
82,119,100,Chicken Biryani,2025-01-28,11:52:26,Cancelled,608.94
83,138,2,Cheese Pizza,2024-11-01,05:04:11,Pending,760.3
84,188,40,Veg Burger,2024-11-19,03:43:16,Cancelled,173.45
85,168,28,Veg Thali,2024-04-20,04:00:47,Cancelled,665.69
86,424,19,Idli Sambhar,2024-01-15,00:03:12,Pending,251.14
87,350,92,Chicken Roll,2024-07-15,12:01:49,Delivered,615.54
88,52,99,Dosa,2024-06-17,13:38:25,Cancelled,801.6
89,864,79,Mutton Curry,2025-08-08,00:10:43,Cancelled,268.19
90,691,73,Mutton Curry,2025-03-13,15:53:59,Cancelled,375.6
91,464,67,Cheese Pizza,2023-11-19,06:42:47,Delivered,223.88
92,62,10,Dosa,2025-05-12,00:44:56,Pending,258.83
93,290,9,Pasta Alfredo,2024-04-07,19:16:49,Pending,452.47
94,843,89,Cheese Pizza,2024-01-05,12:55:18,Pending,552.17
