restaurant_id,restaurant_name,city,opening_hours
1,Garcia Inc Restaurant,Hyderabad,11:00-23:00
2,"Stanley, Murphy and Thompson Restaurant",Mumbai,10:00-23:00
3,"Taylor, Anderson and Jenkins Restaurant",Delhi,10:00-23:00
4,Rojas-Williams Restaurant,Chennai,11:00-22:00
5,"Robertson, Rodriguez and Castro Restaurant",Mumbai,8:00-21:00
6,Howe-Mercer Restaurant,Bangalore,11:00-21:00
7,Mann LLC Restaurant,Delhi,8:00-22:00
8,Norton Group Restaurant,Chennai,10:00-23:00
9,Ramirez Group Restaurant,Hyderabad,9:00-21:00
10,"Johnson, Salinas and Daniel Restaurant",Kolkata,11:00-21:00
11,Powers Ltd Restaurant,Delhi,10:00-22:00
12,Brown Ltd Restaurant,Delhi,10:00-22:00
13,Shannon-Davis Restaurant,Chennai,10:00-23:00
14,Tyler Inc Restaurant,Mumbai,11:00-22:00
15,Martinez PLC Restaurant,Hyderabad,8:00-21:00
16,Kennedy-Duran Restaurant,Bangalore,8:00-22:00
17,Martin-Brown Restaurant,Mumbai,8:00-22:00
18,Ramirez Inc Restaurant,Hyderabad,9:00-23:00
19,Lara Group Restaurant,Mumbai,11:00-23:00
20,Reed-Kelly Restaurant,Bangalore,10:00-22:00
21,Howard and Sons Restaurant,Pune,11:00-22:00
22,Thomas PLC Restaurant,Pune,10:00-21:00
23,Huynh Ltd Restaurant,Kolkata,10:00-23:00
24,Curtis Group Restaurant,Pune,8:00-22:00
25,"Grimes, Frost and Young Restaurant",Hyderabad,10:00-22:00
26,"Powers, Moore and Collins Restaurant",Delhi,10:00-21:00
27,"Wagner, Turner and Bullock Restaurant",Pune,11:00-22:00
28,Frey-Shah Restaurant,Mumbai,8:00-23:00
29,Black and Sons Restaurant,Hyderabad,10:00-23:00
30,Hayden-Flores Restaurant,Mumbai,11:00-23:00
31,"Morales, Gamble and Rodgers Restaurant",Bangalore,10:00-23:00
32,Garcia and Sons Restaurant,Hyderabad,10:00-21:00
33,Patel-Cummings Restaurant,Bangalore,8:00-22:00
34,"Parker, Kelley and Fernandez Restaurant",Chennai,9:00-22:00
35,"Chase, Mitchell and Armstrong Restaurant",Mumbai,8:00-22:00
36,"Davis, Hernandez and Clark Restaurant",Chennai,9:00-22:00
37,Rocha and Sons Restaurant,Delhi,8:00-21:00
38,Mueller LLC Restaurant,Mumbai,10:00-22:00
39,"Flores, Duncan and Walters Restaurant",Hyderabad,11:00-23:00
40,Coleman LLC Restaurant,Chennai,10:00-23:00
41,"Jones, Ruiz and Barker Restaurant",Bangalore,8:00-23:00
42,Reed LLC Restaurant,Hyderabad,9:00-21:00
43,Martin PLC Restaurant,Mumbai,9:00-23:00
44,Dean Inc Restaurant,Mumbai,8:00-21:00
45,Flores-Osborn Restaurant,Chennai,10:00-23:00
46,Bowman Ltd Restaurant,Kolkata,11:00-23:00
47,Davis-Brown Restaurant,Hyderabad,11:00-23:00
48,Williams-Simon Restaurant,Mumbai,8:00-22:00
49,Romero-Taylor Restaurant,Pune,9:00-21:00
50,Fernandez-Cross Restaurant,Bangalore,11:00-21:00
51,"Manning, Maxwell and Ryan Restaurant",Bangalore,9:00-23:00
52,Cox-Hodge Restaurant,Pune,9:00-23:00
53,"Shah, Mayo and Christian Restaurant",Bangalore,11:00-22:00
